Topic,Count,Name,Representation,Representative_Docs
47,137,47_italia_lgbt_gay_gays,"['italia', 'lgbt', 'gay', 'gays', 'homosexuales', 'bandera', 'in', 'homofobia', 'brasil', 'people']","['i dont understand spanish but i think this made me cry.. beautiful.. my country before where i live is full of homophobia. 20 years in prison for other religion and hang to death for islam. i was scared for all my life long.. since i was a kid.. i am confused and scared alot .. but 5+ years ago i found the love of my life , we are married 3 years ago.. in europe.. for to do so i told my parents that i have a job in europe.. my father was againts homosexuality he once said "" if i found them around i will shoot them "" thats how much hate he had towards them lgbt..', ""i'd like to thank the people of spain, and the people in this video in particular, for being such a shining beacon of acceptance. it really makes me feel good to know that there are people out there like you. i myself am not lgbt, but i support them. people shouldn't have to live in fear because of how they are. bravo to you, spain."", 'hola, queridos amigos españoles, soy italiano y, a veces, me da vergüenza, esta es una de esas veces. los jóvenes no pueden expresarse, tienen una vida social hecha por los amigos a su alrededor y dicen algo en favor de la comunidad lgtb, para ellos sería como ser etiquetados, burlados y despedidos públicamente, porque ""si eres un amigo gay eres gay también"". ! ""\nen italia hay muchos homosexuales, pero secretamente, no es raro leer acerca de los ataques contra personas homosexuales fuera de los clubes gay, por eso no pueden hablar libremente. también hay historias sobre jóvenes que han tenido que cambiar de ciudad y que han sido abandonados por sus familias, cuando un hombre gay camina en la calle con claras actitudes afeminadas, a menudo he visto la mirada pesada de personas cargadas de juicio o de lo contrario se ríen. ser gay en italia es difícil, españa está muy adelante. amo a españa por muchos otros motivos <3\n\n\n\nhello dear spanish friends, i am italian and sometimes i am ashamed of it, this is one of those times. young people can not express themselves, they have a social life made by the friends around them and say something in favor of the lgtb community, for them it would be like being labeled, jeered and publicly dismissed, because ""if you are a gay friend you\'re gay too ! ""\nin italy there are many gays but they are secretly, it is not uncommon to read about attacks on gay people outside gay clubs, that\'s why they can not speak freely. there are also stories about young people who have had to change cities and who have been abandoned by their families, when a gay man walks on the street in clear effeminate attitudes, i have often seen the heavy looks of people loaded with judgment or otherwise they laugh. being gay in italy is difficult, spain is far ahead. i love spain for many other reasons']"
48,132,48_beso_kiss_besos_the,"['beso', 'kiss', 'besos', 'the', 'kissing', 'cris', 'when', 'they', 'was', 'joana']","['más falso q beso de suegra', 'yo esperando el\nbeso 👎', 'que ricoo eso beso sabrosos']"
49,132,49_voy_rato_colchón_necesito,"['voy', 'rato', 'colchón', 'necesito', 'yorar', 'quedado', 'dolor', 'capitulo', 'gustaria', 'razon']","['grande roberto. se me ha quedado cara de bobo durante un buen rato :)', 'anoche estuvo el generalisimo el mismo el caudillo de cuerpo entero y presente en mi habitación  vino a visitarme y me cogió el coñ y me dejó un mensaje que no puedo revelar hasta que no sea el momento lo primero que me dijo esque no cambiaba el himno de españa porque no le salia desde los mismísimo cojones', 'el pana que sale del colchón sale con cara de asombro capaz y pensó que llego a su meta']"
50,127,50_respeto_mundo_respetar_respeten,"['respeto', 'mundo', 'respetar', 'respeten', 'humano', 'humanos', 'respeto hacia', 'vida', 'universo', 'deberíamos']","['respeto hacia cualquiera...sin importar como sea el era el primero en faltar al respeto...gritando y amenazando...verguenza para el ""hetero""', 'no los apoyo ni los discrimino, yo los respeto porque son personas igual que todos y merecen respeto\nme encanta la reaccion de las personas, fuera bueno que todos sean asi 👏👏👏', 'el respeto que tienen los contrarios']"
51,125,51_guerra_guerra civil_civil_guerras,"['guerra', 'guerra civil', 'civil', 'guerras', 'ejército', 'heike', 'paz', 'vaya', 'bandos', 'hagamos']","['una   guerra   por  qué  se  tuvo  que  derrocar  alguien  creo  yo  no', 'llamaré esto a “la guerra vietfobia”', 'seee.. por la guerra']"
52,122,52_áfrica_africa_africanos_europa,"['áfrica', 'africa', 'africanos', 'europa', 'africano', 'países', 'continente', 'corruptos', 'país', 'sani']","['importas áfrica, tienes áfrica', 'no no no es en áfrica', 'si melilla está en áfrica...es de los africanos. no es de españa.']"
53,118,53_fascista_fascismo_fascistas_nazi,"['fascista', 'fascismo', 'fascistas', 'nazi', 'extrema derecha', 'nostálgicos', 'fuentes', 'alarmante', 'muerto', 'extrema']","['tanto fascista resentido en youtube?', 'quien es este fascista?', 'eraes un fascista  en espania no secuestran']"
54,112,54_entrevista_entrevistas_pablo_entrevistador,"['entrevista', 'entrevistas', 'pablo', 'entrevistador', 'neutral', 'motos', 'pablo motos', 'entrevistado', 'profesional', 'abascal']","['¿alguien sabe donde se puede ver la entrevista en el pardo con la cbs?', 'pero esta entrevista es verdad?', 'esto es una entrevista o un interrogatorio?']"
55,110,55_jóvenes_mayores_abierta_jovenes,"['jóvenes', 'mayores', 'abierta', 'jovenes', 'mente', 'mayor', 'mente abierta', 'abiertos', 'mentalidad abierta', 'abierta jóvenes']","['que fuerte me parece que los mayores tienen la mente mas abierta que los jovenes....', 'we los mayores tienen la mente mas abierta que los jóvenes :v', 'ole los dos señores mayores de mente más abierta que algunos jóvenes del vídeo']"
56,110,56_venezolana_venezuela_venezolano_hola,"['venezolana', 'venezuela', 'venezolano', 'hola', 'colombia', 'trabajar', 'esposa', 'gustaría', 'galicia', 'buenas']","['hola como hago para aplicar soy venezolana y española gracias a mi padre nacido en sada a caruña, licenciada en administeacion trabaje en el banco de venezuela cuando era grupo santander', 'hola yo estoy interezada somos una familia venezolana mi bisabuela era de galicia', 'hola soy venezolana interesada']"
57,110,57_chico_muchacho_guy_the,"['chico', 'muchacho', 'guy', 'the', 'chicos', 'hot', 'right', 'lindo', 'name', 'boy']","['cual es el ig del chico ?', 'lo mejor de todo el carisma del chico\n❤😂😂😂', 'qué chico tan chévere ❤']"
58,110,58_motos_pablo motos_pablo_moto,"['motos', 'pablo motos', 'pablo', 'moto', 'abascal', 'vende', 'intentando', 'asco', 've', 'evidencia']","['pablo motos fsscista, cangrena3', 'pablo motos te veo y veo esclerosis multiple joeee', 'pablo motos no se q hace']"
59,103,59_venezuela_venezolanos_hahahahaha_venezolana,"['venezuela', 'venezolanos', 'hahahahaha', 'venezolana', 'venezolano', 'millones', 'saludos venezuela', 'guerra', 'saludos', 'país']","['que raro que venezuela no esta en ese top!!!... viva venezuela 🇻🇪', 'que se vaya a venezuela', 'venezuela tiene 410 y no esta']"
