year_dataset,Topic,Name,documentos,total_documentos_anio,porcentaje_corpus,etiqueta
2023,46,46_vox_cogam_fiscalía_podemos,4,7555,0.05,46_vox_cogam_fiscalía_podemos
2023,47,47_cortes_abogados cristianos_castilla león_cristianos,75,7555,0.99,47_cortes_abogados cristianos_castilla león_cristianos
2023,48,48_reproducción_asistida_reproducción asistida_mujeres,6,7555,0.08,48_reproducción_asistida_reproducción asistida_mujeres
2023,49,49_mr gay_mr_gay_gay pride,17,7555,0.23,49_mr gay_mr_gay_gay pride
2023,50,50_circuit_barcelona_festival_circuit festival,19,7555,0.25,50_circuit_barcelona_festival_circuit festival
2023,51,51_ley_madrid_ayuso_trans,72,7555,0.95,51_ley_madrid_ayuso_trans
2023,52,52_028_servicio_atención_residencia,73,7555,0.97,52_028_servicio_atención_residencia
2023,53,53_italia_uniones_senado_proyecto,14,7555,0.19,53_italia_uniones_senado_proyecto
2023,54,54_deporte_declaración_declaración institucional_senador,22,7555,0.29,54_deporte_declaración_declaración institucional_senador
2023,55,55_ayuso_madrid_pp_leyes,41,7555,0.54,55_ayuso_madrid_pp_leyes
2023,56,56_nigeria_asilo_país_camerún,19,7555,0.25,56_nigeria_asilo_país_camerún
