Comunidades y ciudades autónomas;Sexo;Nacionalidad;País de nacimiento;Periodo;Total
08 Castilla - La Mancha;Total;Extranjera;Total;1 de octubre de 2021;191.609
08 Castilla - La Mancha;Total;Extranjera;Total;1 de julio de 2021;188.930
08 Castilla - La Mancha;Total;Extranjera;Total;1 de abril de 2021;190.109
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2021;190.379
08 Castilla - La Mancha;Total;Extranjera;Total;1 de octubre de 2020;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de julio de 2020;188.686
08 Castilla - La Mancha;Total;Extranjera;Total;1 de abril de 2020;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2020;184.620
08 Castilla - La Mancha;Total;Extranjera;Total;1 de octubre de 2019;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de julio de 2019;177.566
08 Castilla - La Mancha;Total;Extranjera;Total;1 de abril de 2019;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2019;172.095
08 Castilla - La Mancha;Total;Extranjera;Total;1 de octubre de 2018;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de julio de 2018;167.628
08 Castilla - La Mancha;Total;Extranjera;Total;1 de abril de 2018;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2018;166.517
08 Castilla - La Mancha;Total;Extranjera;Total;1 de octubre de 2017;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de julio de 2017;164.194
08 Castilla - La Mancha;Total;Extranjera;Total;1 de abril de 2017;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2017;166.677
08 Castilla - La Mancha;Total;Extranjera;Total;1 de octubre de 2016;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de julio de 2016;167.693
08 Castilla - La Mancha;Total;Extranjera;Total;1 de abril de 2016;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2016;171.363
08 Castilla - La Mancha;Total;Extranjera;Total;1 de octubre de 2015;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de julio de 2015;173.288
08 Castilla - La Mancha;Total;Extranjera;Total;1 de abril de 2015;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2015;176.774
08 Castilla - La Mancha;Total;Extranjera;Total;1 de octubre de 2014;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de julio de 2014;180.508
08 Castilla - La Mancha;Total;Extranjera;Total;1 de abril de 2014;""
08 Castilla - La Mancha;Total;Extranjera;Total;1 de enero de 2014;186.787
09 Cataluña;Total;Extranjera;Total;1 de enero de 2025;1.522.819
09 Cataluña;Total;Extranjera;Total;1 de octubre de 2024;1.501.803
09 Cataluña;Total;Extranjera;Total;1 de julio de 2024;1.474.410
09 Cataluña;Total;Extranjera;Total;1 de abril de 2024;1.455.658
09 Cataluña;Total;Extranjera;Total;1 de enero de 2024;1.444.192
09 Cataluña;Total;Extranjera;Total;1 de octubre de 2023;1.431.231
09 Cataluña;Total;Extranjera;Total;1 de julio de 2023;1.404.565
09 Cataluña;Total;Extranjera;Total;1 de abril de 2023;1.385.572
09 Cataluña;Total;Extranjera;Total;1 de enero de 2023;1.361.981
09 Cataluña;Total;Extranjera;Total;1 de octubre de 2022;1.329.361
09 Cataluña;Total;Extranjera;Total;1 de julio de 2022;1.293.314
09 Cataluña;Total;Extranjera;Total;1 de abril de 2022;1.262.970
09 Cataluña;Total;Extranjera;Total;1 de enero de 2022;1.235.672
09 Cataluña;Total;Extranjera;Total;1 de octubre de 2021;1.224.460
09 Cataluña;Total;Extranjera;Total;1 de julio de 2021;1.209.391
09 Cataluña;Total;Extranjera;Total;1 de abril de 2021;1.221.067
09 Cataluña;Total;Extranjera;Total;1 de enero de 2021;1.230.304
09 Cataluña;Total;Extranjera;Total;1 de octubre de 2020;""
09 Cataluña;Total;Extranjera;Total;1 de julio de 2020;1.212.340
09 Cataluña;Total;Extranjera;Total;1 de abril de 2020;""
09 Cataluña;Total;Extranjera;Total;1 de enero de 2020;1.189.094
09 Cataluña;Total;Extranjera;Total;1 de octubre de 2019;""
09 Cataluña;Total;Extranjera;Total;1 de julio de 2019;1.142.997
09 Cataluña;Total;Extranjera;Total;1 de abril de 2019;""
09 Cataluña;Total;Extranjera;Total;1 de enero de 2019;1.094.215
09 Cataluña;Total;Extranjera;Total;1 de octubre de 2018;""
09 Cataluña;Total;Extranjera;Total;1 de julio de 2018;1.040.577
09 Cataluña;Total;Extranjera;Total;1 de abril de 2018;""
09 Cataluña;Total;Extranjera;Total;1 de enero de 2018;1.004.114
09 Cataluña;Total;Extranjera;Total;1 de octubre de 2017;""
09 Cataluña;Total;Extranjera;Total;1 de julio de 2017;961.884
09 Cataluña;Total;Extranjera;Total;1 de abril de 2017;""
09 Cataluña;Total;Extranjera;Total;1 de enero de 2017;948.675
09 Cataluña;Total;Extranjera;Total;1 de octubre de 2016;""
