año,mes,ccaa,comunidad,siglas,nombre,votos,diputados
2015,12,5,Canarias,CANARIAS DE,"CANARIAS DECIDE: LOS VERDES, UNIDAD DEL PUEBLO Y A",2883,0
2015,12,9,Cataluña,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,8554,0
2015,12,9,Cataluña,VOX,VOX,465,0
2015,12,10,Extremadura,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,73756,0
2015,12,10,Extremadura,PP,PARTIDO POPULAR,225564,4
2015,12,12,Madrid,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,1742,0
2015,12,14,País Vasco,EAJ-PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,302316,6
2015,12,16,La Rioja,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,26812,0
2015,12,4,Baleares,PODEMOS,PODEMOS,111628,2
2015,12,7,Castilla-La Mancha,DN,DEMOCRACIA NACIONAL,174,0
2015,12,8,Castilla y León,PP,PARTIDO POPULAR,590438,17
2015,12,13,Navarra,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,24969,0
2015,12,6,Cantabria,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,2943,0
2015,12,9,Cataluña,EB,ESCAÑOS EN BLANCO,625,0
2015,12,10,Extremadura,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,233251,5
2015,12,13,Navarra,PODEMOS,PODEMOS,81216,2
2015,12,14,País Vasco,X LA IZQUIE,X LA IZQUIERDA-LOS VERDES,1447,0
2015,12,17,Comunidad Valenciana,DN,DEMOCRACIA NACIONAL,471,0
2015,12,17,Comunidad Valenciana,VOX,VOX,7283,0
2015,12,1,Andalucía,VOX,VOX,9005,0
2015,12,4,Baleares,MÉS,MÉS,33877,0
2015,12,7,Castilla-La Mancha,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,8260,0
2015,12,8,Castilla y León,DN,DEMOCRACIA NACIONAL,703,0
2015,12,10,Extremadura,VOX,VOX,518,0
2015,12,11,Galicia,RECORTES CE,RECORTES CERO-GRUPO VERDE,3829,0
2015,12,1,Andalucía,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,1909,0
2015,12,3,Asturias,PP-FORO,PARTIDO POPULAR-FORO,187568,3
2015,12,5,Canarias,PUM+J,POR UN MUNDO MÁS JUSTO,616,0
2015,12,10,Extremadura,EU-eX,EXTREMADURA UNIDA-EXTREMEÑOS,2021,0
2015,12,11,Galicia,NÓS,NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG),70863,0
2015,12,12,Madrid,P-LIB,PARTIDO LIBERTARIO,1075,0
2015,12,13,Navarra,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",14528,0
2015,12,15,Murcia,RECORTES CE,RECORTES CERO-GRUPO VERDE,1268,0
2015,12,16,La Rioja,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,1177,0
2016,6,1,Andalucía,PP,PARTIDO POPULAR,1426258,23
2016,6,10,Extremadura,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,212159,4
2016,6,12,Madrid,UPyD,UNIÓN PROGRESO Y DEMOCRACIA,14659,0
2016,6,13,Navarra,PODEMOS-IU-EQUO-BATZARRE,UNIDOS PODEMOS-ELKARREKIN AHAL DUGU,94972,2
2016,6,13,Navarra,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,58173,1
2016,6,16,La Rioja,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,42010,1
2016,6,17,Comunidad Valenciana,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,1941,0
2016,6,17,Comunidad Valenciana,PODEMOS-COM,COMPROMÍS-PODEMOS-EUPV: A LA VALENCIANA,659771,9
2016,6,3,Asturias,PODEMOS-IU-,UNIDOS PODEMOS/XUNÍOS PODEMOS,141845,2
2016,6,7,Castilla-La Mancha,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,791,0
2016,6,8,Castilla y León,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,10330,0
2016,6,14,País Vasco,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,2947,0
2016,6,15,Murcia,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,627,0
2016,6,18,Ceuta,PP,PARTIDO POPULAR,15991,1
2016,6,6,Cantabria,PODEMOS-IU-EQUO,UNIDOS PODEMOS,59845,1
2016,6,7,Castilla-La Mancha,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,126,0
2016,6,7,Castilla-La Mancha,PODEMOS-IU-EQUO,UNIDOS PODEMOS,164160,2
2016,6,9,Cataluña,PxC,PLATAFORMA PER CATALUNYA,724,0
2016,6,11,Galicia,PP,PARTIDO POPULAR,650831,12
2016,6,12,Madrid,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,994,0
2016,6,15,Murcia,FME,LA FUERZA DE LOS MAYORES DE ESPAÑA,200,0
2016,6,17,Comunidad Valenciana,UPyD,UNIÓN PROGRESO Y DEMOCRACIA,5585,0
2016,6,18,Ceuta,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,333,0
2016,6,19,Melilla,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,3352,0
2016,6,6,Cantabria,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,483,0
2016,6,7,Castilla-La Mancha,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,9839,0
2016,6,12,Madrid,PODEMOS-IU-EQUO,UNIDOS PODEMOS,737885,8
2016,6,14,País Vasco,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,40740,0
2016,6,14,País Vasco,EAJ-PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,287014,5
2016,6,15,Murcia,PP,PARTIDO POPULAR,333109,5
2016,6,15,Murcia,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,144937,2
2016,6,17,Comunidad Valenciana,P-LIB,PARTIDO LIBERTARIO,992,0
2016,6,1,Andalucía,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,52870,0
2016,6,4,Baleares,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,1644,0
2016,6,5,Canarias,EB,ESCAÑOS EN BLANCO,647,0
2016,6,5,Canarias,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,2969,0
2016,6,8,Castilla y León,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,205613,1
2016,6,8,Castilla y León,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,1091,0
2016,6,14,País Vasco,P-LIB,PARTIDO LIBERTARIO,207,0
2016,6,15,Murcia,VOX,VOX,2622,0
