Topic,Words,Frequency,Timestamp,Name
31,"refugiados, solidaria, plaza, manifestación, personas",46,2019,31_refugiados_manifestación_marcha_plaza
32,"sánchez, rajoy, gobierno, presidente gobierno, presidente",9,2019,32_rajoy_gobierno_acuerdo_congreso
33,"cie, motín, inmigrantes, tenerife, internamiento",124,2019,33_cie_internos_motín_inmigrantes
34,"camión, essex, frigorífico, 39, hallados",78,2019,34_camión_policía_bulgaria_vehículo
35,"artur, ucranianos, barcelona, familia, ucraniana",1,2019,35_ucranianos_ucrania_refugiados ucrania...
36,"mediterráneo, libia, oim, 2018, migrantes",49,2019,36_mediterráneo_oim_muerto_ruta
37,"climático, cambio climático, millones, climáticos, cambio",87,2019,37_climático_cambio climático_climáticos...
38,"asilo, ancianos, edificio, residencia, centro",69,2019,38_asilo_ancianos_centro_ayuntamiento
39,"croacia, serbia, eslovenia, barcelona, procés",2,2019,39_croacia_serbia_eslovenia_croata
40,"libia, 150, naufragio, costa libia, mediterráneo",47,2019,40_libia_mediterráneo_naufragio_costa li...
41,"barco, watch, salvini, ong, lampedusa",148,2019,41_barco_watch_salvini_ong
42,"dinamarca, danés, frederiksen, suecia, partido",12,2019,42_dinamarca_suecia_danés_partido
43,"serbia, migrantes afganos, 40 migrantes, devuelto, budapest",2,2019,43_hungría_serbia_frontera_húngaro
44,"niños, unicef, refugiados, niños refugiados, menores",29,2019,44_niños_niños refugiados_refugiados_men...
45,"mauritania, gambiana, nuadibú, rumbo canarias, canarias",6,2019,45_mauritania_senegal_río tajo_tajo
46,"2018, periodo 2018, alemania reino, población extranjera, mar enero",4,2019,46_000_mediterráneo_europa_acnur
47,"lampedusa, migrantes, isla, lampedusa menos, menos 48",16,2019,47_lampedusa_isla_migrantes_meloni
48,"sirios, siria, líbano, refugiados, refugiados sirios",28,2019,48_siria_sirios_refugiados_líbano
49,"audaz, open arms, arms, open, buque",192,2019,49_audaz_open arms_arms_open
50,"naufragio, italiana, italia, libia, watch",6,2019,50_naufragio_supervivientes_italia_sicil...
